Frame,Correlation
100,0.744635
200,0.798418
300,0.658942
400,0.842031
500,0.71418
600,0.855426
700,0.623196
800,0.712943
900,0.881668
1000,0.670998
1100,0.815073
1200,0.655952
1300,0.718656
1400,0.730616
1500,0.95988
1600,0.984436
1700,0.920327
1800,0.955025
1900,0.924914
2000,0.962224
2100,0.978521
2200,0.95845
2300,0.970543
2400,0.947788
2500,0.923935
2600,0.885541
2700,0.967462
2800,0.946713
2900,0.955823
3000,0.96057
3100,0.937902
3200,0.972286
3300,0.985272
3400,0.957313
3500,0.922457
3600,0.973965
3700,0.976303
3800,0.943982
3900,0.956455
4000,0.891752
4100,0.956905
4200,0.977952
4300,0.96296
4400,0.900497
4500,0.97424
4600,0.948555
4700,0.890982
4800,0.985313
4900,0.980083
5000,0.870033
5100,0.956649
5200,0.967564
5300,0.900771
5400,0.909289
5500,0.854995
5600,0.976684
5700,0.958708
5800,0.973405
5900,0.971035
6000,0.975854
6100,0.959931
6200,0.909748
6300,0.976044
6400,0.977822
6500,0.961449
6600,0.985834
6700,0.934899
6800,0.826935
6900,0.971278
7000,0.94089
7100,0.968566
7200,0.972447
7300,0.927245
7400,0.863133
7500,0.958904
7600,0.917292
7700,0.918468
7800,0.941912
7900,0.915133
8000,0.961877
8100,0.988304
8200,0.926761
8300,0.940715
8400,0.95251
8500,0.987669
8600,0.962044
8700,0.987099
8800,0.968445
8900,0.992317
9000,0.972632
9100,0.961925
9200,0.974901
9300,0.971933
9400,0.984423
9500,0.936131
9600,0.983252
9700,0.985113
9800,0.946131
9900,0.985905
10000,0.966527
10100,0.93835
10200,0.931288
10300,0.982807
10400,0.953076
10500,0.964343
10600,0.960758
10700,0.987904
10800,0.987361
10900,0.942538
11000,0.916328
11100,0.98345
11200,0.985755
11300,0.956854
11400,0.954421
11500,0.942265
11600,0.974634
11700,0.970171
11800,0.952592
11900,0.780626
12000,0.955008
12100,0.98623
12200,0.947708
12300,0.975872
12400,0.920744
12500,0.973702
12600,0.941246
12700,0.983093
12800,0.980925
12900,0.973403
13000,0.965842
13100,0.973536
13200,0.979425
13300,0.979001
13400,0.934391
13500,0.958684
13600,0.944473
13700,0.959364
13800,0.974217
13900,0.752752
14000,0.948897
14100,0.976086
14200,0.962777
14300,0.942237
14400,0.921722
14500,0.980622
14600,0.986679
14700,0.990254
14800,0.974542
14900,0.970701
15000,0.973858
15100,0.9788
15200,0.965748
15300,0.971469
15400,0.936202
15500,0.865767
15600,0.975762
15700,0.955015
15800,0.937247
15900,0.962552
16000,0.886298
16100,0.972332
16200,0.972471
16300,0.871861
16400,0.958536
16500,0.950432
16600,0.959771
16700,0.899033
16800,0.956918
16900,0.950213
17000,0.966074
17100,0.848354
17200,0.952744
17300,0.886547
17400,0.951755
17500,0.984434
17600,0.946679
17700,0.941889
17800,0.953508
17900,0.959584
18000,0.911325
18100,0.922725
18200,0.91292
18300,0.979141
18400,0.952208
18500,0.966848
18600,0.934376
18700,0.983825
18800,0.971691
18900,0.982004
19000,0.96462
19100,0.961974
19200,0.899913
19300,0.884221
19400,0.977587
19500,0.954319
19600,0.912729
19700,0.84333
19800,0.976619
19900,0.902936
20000,0.959268
20100,0.959951
20200,0.96774
20300,0.97452
20400,0.910455
20500,0.903079
20600,0.926644
20700,0.983835
20800,0.909003
20900,0.966476
21000,0.92699
21100,0.949028
21200,0.978462
21300,0.95358
21400,0.964375
21500,0.985486
21600,0.947701
21700,0.896199
21800,0.920781
21900,0.933927
22000,0.821135
22100,0.963502
22200,0.957415
22300,0.95585
22400,0.920732
22500,0.911699
22600,0.926299
22700,0.924492
22800,0.982866
22900,0.959366
23000,0.818249
23100,0.802785
23200,0.897892
23300,0.94453
23400,0.95749
23500,0.936737
23600,0.919126
23700,0.962236
23800,0.863981
23900,0.971605
24000,0.95008
24100,0.945849
24200,0.955026
24300,0.974444
24400,0.958335
24500,0.966224
24600,0.920452
24700,0.942248
24800,0.91042
24900,0.95758
25000,0.794192
